Name;aP;eP;iP;PiqP;OmegaP;L0P;M0P;NP;SidTagP;epsP;aPm
Merkur ;0.387098;0.205631;7.004986;77.456119;48.330893;252.250906;174.794787;149473.26903;5067033.624;0;5.79090E+10
Venus  ;0.723329;0.006772;3.394662;131.563703;76.679920;181.979801;50.416098;58518.22008;20996815.68;177.3;1.08208E+11
Erde   ;1.000000;0.016709;0.000000;102.937348;0.000000;100.466457;357.529109;35999.37194;86164.099;23.45;1.49598E+11
Mars   ;1.523679;0.093401;1.849726;336.060234;49.558093;355.433000;19.372766;19140.56270;88642.663;25.192;2.27939E+11
Jupiter;5.202603;0.048497;1.303267;14.331207;100.464407;34.351519;20.020312;3033.63896;35729.856;3.12;7.78298E+11
Saturn ;9.554909;0.055548;2.488879;93.057237;113.665503;50.077444;317.020207;1218.86355;38362.464;26.73;1.42939E+12
Uranus ;19.218446;0.046381;0.773197;173.005291;74.005957;314.055005;141.049714;427.28488;62063.712;97.86;2.87504E+12
Neptun ;30.110387;0.009455;1.769953;48.120276;131.784057;304.348665;256.228389;217.88153;57996;29.58;4.50445E+12
Pluto  ;39.481687;0.248808;17.141750;224.066760;110.303470;238.928810;14.862050;145.11135;NaN;NaN;5.90638E+12
%Aequinoktium des Datums;;;;;;;;;;;
%Mittlere Bahnparameter;;;;;;;;;;;
%;;;;;;;;;;;
G;6.67430E-11;;;;;;;;;;
MS;1.98842E+30;;;;;;;;;;
AE;1.49598E+11;;;;;;;;;;
muG;1.32713E+20;;;;;;;;;;
d;8.64000E+04;;;;;;;;;;
