R;G;B;Name;Farbe;Hex;R1;G1;B1
0.9059;0.2588;0.6941;Merkur;Pink normal;E742B1;231;66;177
0.5686;0.7490;0.1686;Venus;Grün normal;91BF2B;145;191;43
0.1529;0.4627;0.8980;Erde;Blau normal;2776E5;39;118;229
0.8902;0.1843;0.1451;Mars;Rot normal;E32F25;227;47;37
0.9137;0.4980;0.1686;Jupiter;Orange normal;E97F2B;233;127;43
1.0000;0.4627;0.4510;Saturn;Rot hell;FF7673;255;118;115
0.3765;0.4980;0.1098;Uranus;Grün dunkel;607F1C;96;127;28
0.2235;0.7373;0.9255;Neptun;Türkis normal;39BCEC;57;188;236
0.4431;0.0902;0.6471;Pluto;Lila dunkel;7117A5;113;23;165
0.9373;0.8196;0.1922;Sonne;Gelb normal;EFD131;239;209;49
0.6471;0.1176;0.1176;divers;Rot dunkel;A51E1E;165;30;30
1.0000;0.5176;0.1922;divers;Orange hell;FF8431;255;132;49
1.0000;0.8902;0.4235;divers;Gelb hell;FFE36C;255;227;108
0.4510;0.8824;1.0000;divers;Türkis hell;73E1FF;115;225;255
0.8000;0.8000;0.8000;divers;Grau hell;CCCCCC;204;204;204
