Datum;X;Y;Nr
31.03.2019;285.0727;162.0793;1
01.04.2019;283.4640;159.0310;2
02.04.2019;282.7867;157.1687;3
03.04.2019;281.7707;154.8827;4
07.04.2019;277.4527;145.4000;5
08.04.2019;276.4367;143.1140;6
10.04.2019;274.1507;138.5420;7
11.04.2019;273.1347;136.0867;8
12.04.2019;271.6953;133.4620;9
13.04.2019;270.9333;131.5147;10
14.04.2019;270.0020;129.4287;11
15.04.2019;268.8167;127.4273;12
16.04.2019;267.8007;125.5107;13
18.04.2019;265.5147;121.3080;14
19.04.2019;264.1600;118.9680;15
20.04.2019;263.3133;117.2207;16
21.04.2019;262.1280;115.3040;17
22.04.2019;261.0273;113.4720;18
23.04.2019;260.0960;111.7247;19
24.04.2019;259.0800;109.7233;20
25.04.2019;257.9793;107.9760;21
27.04.2019;255.8627;104.1120;22
28.04.2019;254.7620;102.1933;23
29.04.2019;253.5767;100.3633;24
01.05.2019;251.5447;97.3227;25
02.05.2019;249.7667;95.2673;26
07.05.2019;245.1947;87.1700;27
09.05.2019;243.1627;84.0680;28
11.05.2019;240.9613;81.1507;29
13.05.2019;238.8447;77.6873;30
14.05.2019;237.6593;77.0787;31
15.05.2019;236.6433;74.6392;32
17.05.2019;234.5267;72.2607;33
18.05.2019;233.3413;71.7447;34
19.05.2019;232.2407;70.7053;35
23.05.2019;228.5133;66.2333;36
24.05.2019;227.5840;65.3173;37
25.05.2019;226.6527;64.2320;38
26.05.2019;225.6367;63.4007;39
27.05.2019;224.2820;62.0613;40
31.05.2019;221.4033;59.1133;41
01.06.2019;220.5567;58.7053;42
02.06.2019;219.8793;58.2973;43
03.06.2019;219.0327;57.5507;44
04.06.2019;218.1860;56.9733;45
05.06.2019;217.4240;56.6500;46
07.06.2019;216.0693;55.7340;47
09.06.2019;214.7147;54.9873;48
12.06.2019;213.0213;54.2407;49
14.06.2019;211.9207;54.0173;50
15.06.2019;211.1587;53.7633;51
17.06.2019;210.4813;54.0173;52
18.06.2019;210.0580;54.0173;53
19.06.2019;209.7193;54.1020;54
20.06.2019;209.3807;54.1867;55
21.06.2019;209.0420;54.1867;56
24.06.2019;208.5340;55.3720;57
25.06.2019;208.2800;55.6260;58
26.06.2019;208.1107;55.8800;59
27.06.2019;207.8567;56.2187;60
28.06.2019;207.6027;56.6420;61
29.06.2019;207.5180;57.1500;62
30.06.2019;207.6027;57.7427;63
01.07.2019;207.6027;58.3353;64
02.07.2019;207.5180;58.8433;65
03.07.2019;207.7873;59.5207;66
04.07.2019;207.7720;60.2827;67
06.07.2019;208.1107;61.7220;68
07.07.2019;208.4493;61.4840;69
08.07.2019;208.7033;62.3307;70
09.07.2019;208.9573;62.8467;71
10.07.2019;209.2960;63.4433;72
14.07.2019;211.2433;67.0880;73
15.07.2019;211.8360;68.2733;74
16.07.2019;212.3440;69.2893;75
17.07.2019;212.9367;70.4747;76
18.07.2019;213.5293;71.5733;77
19.07.2019;214.2067;72.6760;78
20.07.2019;215.1380;74.0307;79
21.07.2019;215.7307;75.1313;80
22.07.2019;216.4927;76.4013;81
23.07.2019;217.3393;77.6713;82
24.07.2019;218.1860;78.9413;83
25.07.2019;219.1173;80.2113;84
26.07.2019;219.5407;81.0580;85
31.07.2019;225.2133;89.2547;86
01.08.2019;226.2293;90.6940;87
04.08.2019;229.9547;94.1813;88
06.08.2019;232.4947;97.3140;89
09.08.2019;236.5587;100.8860;90
11.08.2019;239.3527;103.9340;91
16.08.2019;246.8033;111.7233;92
17.08.2019;248.3273;113.1627;93
18.08.2019;249.9360;115.1100;94
21.08.2019;254.8467;120.0207;95
22.08.2019;256.4553;121.6293;96
23.08.2019;258.2333;122.8227;97
24.08.2019;259.9367;124.3467;98
25.08.2019;261.7047;126.2093;99
26.08.2019;263.4827;127.8180;100
27.08.2019;265.2607;129.5113;101
28.08.2019;267.1233;131.0353;102
29.08.2019;268.8167;132.2287;103
30.08.2019;270.0867;133.4987;104
31.08.2019;272.4537;135.7000;105
01.09.2019;274.2353;137.4780;106
03.09.2019;277.9607;140.7800;107
04.09.2019;279.7387;142.4733;108
11.09.2019;292.6927;153.9880;109
13.09.2019;297.0953;157.9637;110
15.09.2019;300.9053;161.4387;111
16.09.2019;302.9373;162.9627;112
18.09.2019;306.8320;166.6033;113
19.09.2019;308.6947;168.2967;114
20.09.2019;310.7267;170.1953;115
21.09.2019;312.7587;171.8527;116
22.09.2019;314.7060;173.6307;117
24.09.2019;318.6007;177.1020;118
26.09.2019;322.5800;180.5733;119
27.09.2019;324.5723;182.1820;120
29.09.2019;328.3373;185.9820;121
01.10.2019;332.0627;189.5480;122
02.10.2019;333.6713;190.9873;123
11.10.2019;349.7157;206.8200;124
12.10.2019;352.9894;209.6300;125
13.10.2019;354.2453;210.9687;126
14.10.2019;356.0233;212.8313;127
15.10.2019;357.7167;214.5247;128
16.10.2019;359.2407;216.3027;129
18.10.2019;362.6273;219.7740;130
20.10.2019;366.1833;223.4993;131
22.10.2019;369.4007;227.0553;132
24.10.2019;372.3640;230.5267;133
25.10.2019;373.9427;232.4740;134
26.10.2019;375.4120;234.2520;135
27.10.2019;376.9360;236.2800;136
30.10.2019;380.9153;241.6947;137
31.10.2019;382.5240;244.0573;138
04.11.2019;387.4348;251.5000;139
10.11.2019;393.5307;261.6520;140
23.11.2019;403.3520;283.8027;141
03.12.2019;406.7387;297.3493;142
04.12.2019;406.9080;298.7887;143
05.12.2019;406.7387;299.4660;144
06.12.2019;406.6540;300.5667;145
08.12.2019;406.6540;302.5140;146
09.12.2019;406.4000;303.6447;147
15.12.2019;405.2147;307.5940;148
16.12.2019;404.1987;309.1180;149
20.12.2019;401.9127;311.8273;150
24.12.2019;399.5420;313.0973;151
28.12.2019;396.4093;313.9440;152
29.12.2019;395.2240;314.1133;153
30.12.2019;394.4620;314.2827;154
31.12.2019;393.1073;314.2827;155
02.01.2020;390.8213;313.6053;156
06.01.2020;387.6040;313.5207;157
10.01.2020;383.6247;312.2507;158
12.01.2020;380.8307;310.9807;159
14.01.2020;378.4600;309.6260;160
17.01.2020;374.8193;307.5940;161
22.01.2020;368.7233;302.9373;162
27.01.2020;362.2181;296.9260;163
06.02.2020;349.1653;283.1253;164
07.02.2020;348.2340;280.6013;165
08.02.2020;346.6253;278.6223;166
09.02.2020;345.4400;276.7300;167
12.02.2020;341.4607;271.6193;168
15.02.2020;337.1427;264.9847;169
16.02.2020;336.2926;263.4300;170
18.02.2020;333.4173;259.0813;171
21.02.2020;329.2687;252.5313;172
22.02.2020;328.1680;250.6380;173
26.02.2020;322.9187;241.2940;174
27.02.2020;321.9873;239.4007;175
28.02.2020;320.8020;236.9993;176
29.02.2020;319.7860;234.8520;177
01.03.2020;318.5160;232.3660;178
02.03.2020;317.1613;229.8800;179
04.03.2020;314.8753;225.2773;180
08.03.2020;310.2187;215.7640;181
12.03.2020;305.0007;206.0813;182
13.03.2020;304.2460;203.3413;183
14.03.2020;303.4453;200.8553;184
15.03.2020;302.1753;198.4540;185
16.03.2020;300.9053;195.8833;186
18.03.2020;298.3653;190.8573;187
19.03.2020;297.3493;188.2867;188
20.03.2020;295.9100;185.6313;189
22.03.2020;293.2853;180.3513;190
23.03.2020;292.1847;178.0347;191
24.03.2020;291.0840;175.2947;192
25.03.2020;289.8140;172.6393;193
26.03.2020;288.7980;170.2380;194
27.03.2020;287.6127;167.4980;195
28.03.2020;286.3427;164.9273;196
