Name;eP;aP;qP;iP;OmegaP;omegaP;MP;T0;nP;QP
Halley 1986;0.967142908;17.83414429;0.585978112;162.2626906;58.42008098;111.3324851;38.38426448;2446467.395000;0.013086565;35.08231047
Neowise 2020;0.999188062;362.8965186;0.294643934;128.9372925;61.01054495;37.27889889;0.001328884;2459034.179000;0.000142571;725.4983879
Komet 1680;0.999986;444.4285714;0.006222;60.6784;276.6339;350.6128;-0.00205;2335019.988000;0.0001052;888.8509209
Donati 1858 ;0.996295;156.1319838;0.578469;116.9512;167.3044;129.1144;0.003807;2399952.965000;0.0005052;311.685
D/1993 F2-D;0.214725345;6.851576928;5.38036971;5.972967603;220.6003061;354.9131083;2.412564931;2449436.600000;0.054956399;8.322784146
D/1993 F2-A;0.216209167;6.864794628;5.3805631;6.003293874;220.537655;354.8935192;2.460243948;2449435.603000;0.054797753;8.349026155
Halley 1986;0.967142908;17.83414429;0.585978112;162.2626906;58.42008098;111.3324851;38.38426448;2446467.395000;0.013086565;35.08231047
Halley 1758;0.967686;18.087083;0.584466;162.3725;57.24;110.7093;;2363592.562000;;35.5897
Asteroid 231937;0.826126224;1.70112877;0.295781682;38.98192172;181.7315432;123.3136615;299.1600429;2459337.459000;0.444220188;3.106475846
Asteroid 268057;0.082402561;2.807169394;2.575851446;3.265048167;270.5748039;113.4224849;101.9754001;2458513.875000;0.209556504;3.038487342
Asteroid 103770;0.126261549;3.139173278;2.742816397;16.5770908;358.5446343;218.2774378;198.1967447;2459913.574000;0.177207109;3.53553015
Asteroid 231937;0.826126224;1.70112877;0.295781682;38.98192172;181.7315432;123.3136615;299.1600429;2459337.459000;0.444220188;3.106475846
9P/Tempel1;0.509730344;3.146289866;1.54253045;10.47332142;68.75570899;179.1945054;333.055652;2457603.067385;0.176606212;
Swift-Tuttle;0.963225755;26.0920695;0.959516155;113.453817;139.3811921;152.9821676;7.631696167;2448968.499785;0.007395053;
