Stoerungen der Marsbahn durch ;;;;;;;;;
Venus; T; M4;0;7; M2;-2;"-1 );";;
1;0;-1;0;-0.01;-0.03;0.10;-0.04;0.00;0.00
2;1;-1;0;0.05;0.10;-2.08;0.75;0.00;0.00
3;2;-1;0;-0.25;-0.57;-2.58;1.18;0.05;-0.04
4;2;-2;0;0.02;0.02;0.13;-0.14;0.00;0.00
5;3;-1;0;3.41;5.38;1.87;-1.15;0.01;-0.01
6;3;-2;0;0.02;0.02;0.11;-0.13;0.00;0.00
7;4;-1;0;0.32;0.49;-1.88;1.21;-0.07;0.07
8;4;-2;0;0.03;0.03;0.12;-0.14;0.00;0.00
9;5;-1;0;0.04;0.06;-0.17;0.11;-0.01;0.01
10;5;-2;0;0.11;0.09;0.35;-0.43;-0.01;0.01
11;6;-2;0;-0.36;-0.28;-0.20;0.25;0.00;0.00
12;7;-2;0;-0.03;-0.03;0.11;-0.13;0.00;-0.01
Erde; T; M4;-1;16; M3;-9;"0 );";;
14;1;0;0;-5.32;38481.97;-141856.04;0.40;-6321.67;1876.89
15;1;0;1;-1.12;37.98;-138.67;-2.93;37.28;117.48
16;1;0;2;-0.32;-0.03;0.12;-1.19;1.04;-0.40
17;2;0;0;28.28;2285.80;-6608.37;0.00;-589.35;174.81
18;2;0;1;1.64;3.37;-12.93;0.00;2.89;11.10
19;2;0;2;0.00;0.00;0.00;0.00;0.10;-0.03
20;3;0;0;5.31;189.29;-461.81;0.00;-61.98;18.53
21;3;0;1;0.31;0.35;-1.36;0.00;0.25;1.19
22;4;0;0;0.81;17.96;-38.26;0.00;-6.88;2.08
23;4;0;1;0.05;0.04;-0.15;0.00;0.02;0.14
24;5;0;0;0.11;1.83;-3.48;0.00;-0.79;0.24
25;6;0;0;0.02;0.20;-0.34;0.00;-0.09;0.03
26;-1;-1;0;0.09;0.06;0.14;-0.22;0.02;-0.02
27;0;-1;0;0.72;0.49;1.55;-2.31;0.12;-0.10
28;1;-1;0;7.00;4.92;13.93;-20.48;0.08;-0.13
29;2;-1;0;13.08;4.89;-4.53;10.01;-0.05;0.13
30;2;-2;0;0.14;0.05;-0.48;-2.66;0.01;0.14
31;3;-1;0;1.38;0.56;-2.00;4.85;-0.01;0.19
32;3;-2;0;-6.85;2.68;8.38;21.42;0.00;0.03
33;3;-3;0;-0.08;0.20;1.20;0.46;0.00;0.00
34;4;-1;0;0.16;0.07;-0.19;0.47;-0.01;0.05
35;4;-2;0;-4.41;2.14;-3.33;-7.21;-0.07;-0.09
36;4;-3;0;-0.12;0.33;2.22;0.72;-0.03;-0.02
37;4;-4;0;-0.04;-0.06;-0.36;0.23;0.00;0.00
38;5;-2;0;-0.44;0.21;-0.70;-1.46;-0.06;-0.07
39;5;-3;0;0.48;-2.60;-7.25;-1.37;0.00;0.00
40;5;-4;0;-0.09;-0.12;-0.66;0.50;0.00;0.00
41;5;-5;0;0.03;0.00;0.01;-0.17;0.00;0.00
42;6;-2;0;-0.05;0.03;-0.07;-0.15;-0.01;-0.01
43;6;-3;0;0.10;-0.96;2.36;0.30;0.04;0.00
44;6;-4;0;-0.17;-0.20;-1.09;0.94;0.02;-0.02
45;6;-5;0;0.05;0.00;0.00;-0.30;0.00;0.00
46;7;-3;0;0.01;-0.10;0.32;0.04;0.02;0.00
47;7;-4;0;0.86;0.77;1.86;-2.01;0.01;-0.01
48;7;-5;0;0.09;-0.01;-0.05;-0.44;0.00;0.00
49;7;-6;0;-0.01;0.02;0.10;0.08;0.00;0.00
50;8;-4;0;0.20;0.16;-0.53;0.64;-0.01;0.02
51;8;-5;0;0.17;-0.03;-0.14;-0.84;0.00;0.01
52;8;-6;0;-0.02;0.03;0.16;0.09;0.00;0.00
53;9;-5;0;-0.55;0.15;0.30;1.10;0.00;0.00
54;9;-6;0;-0.02;0.04;0.20;0.10;0.00;0.00
55;10;-5;0;-0.09;0.03;-0.10;-0.33;0.00;-0.01
56;10;-6;0;-0.05;0.11;0.48;0.21;-0.01;0.00
57;11;-6;0;0.10;-0.35;-0.52;-0.15;0.00;0.00
58;11;-7;0;-0.01;-0.02;-0.10;0.07;0.00;0.00
59;12;-6;0;0.01;-0.04;0.18;0.04;0.01;0.00
60;12;-7;0;-0.05;-0.07;-0.29;0.20;0.01;0.00
61;13;-7;0;0.23;0.27;0.25;-0.21;0.00;0.00
62;14;-7;0;0.02;0.03;-0.10;0.09;0.00;0.00
63;14;-8;0;0.05;0.01;0.03;-0.23;0.00;0.03
64;15;-8;0;-1.53;0.27;0.06;0.42;0.00;0.00
65;16;-8;0;-0.14;0.02;-0.10;-0.55;-0.01;-0.02
66;16;-9;0;0.03;-0.06;-0.25;-0.11;0.00;0.00
Jupiter; T; M4;-2;5; M5;-5;"-1 );";;
68;-2;-1;0;0.05;0.03;0.08;-0.14;0.01;-0.01
69;-1;-1;0;0.39;0.27;0.92;-1.50;-0.03;-0.06
70;-1;-2;0;-0.16;0.03;0.13;0.67;-0.01;0.06
71;-1;-3;0;-0.02;0.01;0.05;0.09;0.00;0.01
72;0;-1;0;3.56;1.13;-5.41;-7.18;-0.25;-0.24
73;0;-2;0;-1.44;0.25;1.24;7.96;0.02;0.31
74;0;-3;0;-0.21;0.11;0.55;1.04;0.01;0.05
75;0;-4;0;-0.02;0.02;0.11;0.11;0.00;0.01
76;1;-1;0;16.67;-19.15;61.00;53.36;-0.06;-0.07
77;1;-2;0;-21.64;3.18;-7.77;-54.64;-0.31;0.50
78;1;-3;0;-2.82;1.45;-2.53;-5.73;0.01;0.07
79;1;-4;0;-0.31;0.28;-0.34;-0.51;0.00;0.00
80;2;-1;0;2.15;-2.29;7.04;6.94;0.33;0.19
81;2;-2;0;-15.69;3.31;-15.70;-73.17;-0.17;-0.25
82;2;-3;0;-1.73;1.95;-9.19;-7.20;0.02;-0.03
83;2;-4;0;-0.01;0.33;-1.42;0.08;0.01;-0.01
84;2;-5;0;0.03;0.03;-0.13;0.12;0.00;0.00
85;3;-1;0;0.26;-0.28;0.73;0.71;0.08;0.04
86;3;-2;0;-2.06;0.46;-1.61;-6.72;-0.13;-0.25
87;3;-3;0;-1.28;-0.27;2.21;-6.90;-0.04;-0.02
88;3;-4;0;-0.22;0.08;-0.44;-1.25;0.00;0.01
89;3;-5;0;-0.02;0.03;-0.15;-0.08;0.00;0.00
90;4;-1;0;0.03;-0.03;0.08;0.08;0.01;0.01
91;4;-2;0;-0.26;0.06;-0.17;-0.70;-0.03;-0.05
92;4;-3;0;-0.20;-0.05;0.22;-0.79;-0.01;-0.02
93;4;-4;0;-0.11;-0.14;0.93;-0.60;0.00;0.00
94;4;-5;0;-0.04;-0.02;0.09;-0.23;0.00;0.00
95;5;-4;0;-0.02;-0.03;0.13;-0.09;0.00;0.00
96;5;-5;0;0.00;-0.03;0.21;0.01;0.00;0.00
Saturn; T; M4;-1;3; M6;-4;"-1 );";;
98;-1;-1;0;0.03;0.13;0.48;-0.13;0.02;0.00
99;0;-1;0;0.27;0.84;0.40;-0.43;0.01;-0.01
100;0;-2;0;0.12;-0.04;-0.33;-0.55;-0.01;-0.02
101;0;-3;0;0.02;-0.01;-0.07;-0.08;0.00;0.00
102;1;-1;0;1.12;0.76;-2.66;3.91;-0.01;0.01
103;1;-2;0;1.49;-0.95;3.07;4.83;0.04;-0.05
104;1;-3;0;0.21;-0.18;0.55;0.64;0.00;0.00
105;2;-1;0;0.12;0.10;-0.29;0.34;-0.01;0.02
106;2;-2;0;0.51;-0.36;1.61;2.25;0.03;0.01
107;2;-3;0;0.10;-0.10;0.50;0.43;0.00;0.00
108;2;-4;0;0.01;-0.02;0.11;0.05;0.00;0.00
109;3;-2;0;0.07;-0.05;0.16;0.22;0.01;0.01
