Name;Masse;aP;rhoP;RP;aP_in_AE;RP_in_km;
Merkur;3.30E+23;5.81E+10;5427;2439500;0.38709;4879;
Venus;4.87E+24;1.08E+11;5243;6052000;0.72333;12104;
Erde;5.97E+24;1.50E+11;5515;6371000;1;12742;
Mars;6.42E+23;2.29E+11;3933;3389500;1.52366;6779;
Jupiter;1.90E+27;7.81E+11;1326;69911000;5.20336;139822;
Saturn;5.69E+26;1.43E+12;687;58233000;9.53707;116466;
Uranus;8.69E+25;2.88E+12;1270;25362000;19.19126;50724;
Neptun;1.03E+26;4.51E+12;1638;24622000;30.06896;49244;
Pluto;1.30E+22;5.92E+12;1854;1185000;39.48169;2370;
Sonne;1.99E+30;1.50E+11;NaN;NaN;1.50E+11;NaN;
Komet;NaN;NaN;500;NaN;NaN;NaN;
Mond;7.35E+22;3.84E+08;3340;1737400;2.56E-03;NaN;
