// Mittlere Anomalien der Planeten und mittlere Argumente der Mondbahn in [rad];;;;;;;;;
Venus; T; M3;0;7; M2;-6;0;;
1;1;0;0;-0.22;6892.76;-16707.37;-0.54;0.00;0.00
2;1;0;1;-0.06;-17.35;42.04;-0.15;0.00;0.00
3;1;0;2;-0.01;-0.05;0.13;-0.02;0.00;0.00
4;2;0;0;0.00;71.98;-139.57;0.00;0.00;0.00
5;2;0;1;0.00;-0.36;0.70;0.00;0.00;0.00
6;3;0;0;0.00;1.04;-1.75;0.00;0.00;0.00
7;0;-1;0;0.03;-0.07;-0.16;-0.07;0.02;-0.02
8;1;-1;0;2.35;-4.23;-4.75;-2.64;0.00;0.00
9;1;-2;0;-0.10;0.06;0.12;0.20;0.02;0.00
10;2;-1;0;-0.06;-0.03;0.20;-0.01;0.01;-0.09
11;2;-2;0;-4.70;2.90;8.28;13.42;0.01;-0.01
12;3;-2;0;1.80;-1.74;-1.44;-1.57;0.04;-0.06
13;3;-3;0;-0.67;0.03;0.11;2.43;0.01;0.00
14;4;-2;0;0.03;-0.03;0.10;0.09;0.01;-0.01
15;4;-3;0;1.51;-0.40;-0.88;-3.36;0.18;-0.10
16;4;-4;0;-0.19;-0.09;-0.38;0.77;0.00;0.00
17;5;-3;0;0.76;-0.68;0.30;0.37;0.01;0.00
18;5;-4;0;-0.14;-0.04;-0.11;0.43;-0.03;0.00
19;5;-5;0;-0.05;-0.07;-0.31;0.21;0.00;0.00
20;6;-4;0;0.15;-0.04;-0.06;-0.21;0.01;0.00
21;6;-5;0;-0.03;-0.03;-0.09;0.09;-0.01;0.00
22;6;-6;0;0.00;-0.04;-0.18;0.02;0.00;0.00
23;7;-5;0;-0.12;-0.03;-0.08;0.31;-0.02;-0.01
Mars; T; M3;1;5; M4;-8;-1;;
1;1;-1;0;-0.22;0.17;-0.21;-0.27;0.00;0.00
2;1;-2;0;-1.66;0.62;0.16;0.28;0.00;0.00
3;2;-2;0;1.96;0.57;-1.32;4.55;0.00;0.01
4;2;-3;0;0.40;0.15;-0.17;0.46;0.00;0.00
5;2;-4;0;0.53;0.26;0.09;-0.22;0.00;0.00
6;3;-3;0;0.05;0.12;-0.35;0.15;0.00;0.00
7;3;-4;0;-0.13;-0.48;1.06;-0.29;0.01;0.00
8;3;-5;0;-0.04;-0.20;0.20;-0.04;0.00;0.00
9;4;-4;0;0.00;-0.03;0.10;0.04;0.00;0.00
10;4;-5;0;0.05;-0.07;0.20;0.14;0.00;0.00
11;4;-6;0;-0.10;0.11;-0.23;-0.22;0.00;0.00
12;5;-7;0;-0.05;0.00;0.01;-0.14;0.00;0.00
13;5;-8;0;0.05;0.01;-0.02;0.10;0.00;0.00
Jupiter; T; M3;-1;3; M5;-4;-1;;
1;-1;-1;0;0.01;0.07;0.18;-0.02;0.00;-0.02
2;0;-1;0;-0.31;2.58;0.52;0.34;0.02;0.00
3;1;-1;0;-7.21;-0.06;0.13;-16.27;0.00;-0.02
4;1;-2;0;-0.54;-1.52;3.09;-1.12;0.01;-0.17
5;1;-3;0;-0.03;-0.21;0.38;-0.06;0.00;-0.02
6;2;-1;0;-0.16;0.05;-0.18;-0.31;0.01;0.00
7;2;-2;0;0.14;-2.73;9.23;0.48;0.00;0.00
8;2;-3;0;0.07;-0.55;1.83;0.25;0.01;0.00
9;2;-4;0;0.02;-0.08;0.25;0.06;0.00;0.00
10;3;-2;0;0.01;-0.07;0.16;0.04;0.00;0.00
11;3;-3;0;-0.16;-0.03;0.08;-0.64;0.00;0.00
12;3;-4;0;-0.04;-0.01;0.03;-0.17;0.00;0.00
Saturn; T; M3;0;2; M6;-2;-1;;
1;0;-1;0;0.00;0.32;0.01;0.00;0.00;0.00
2;1;-1;0;-0.08;-0.41;0.97;-0.18;0.00;-0.01
3;1;-2;0;0.04;0.10;-0.23;0.10;0.00;0.00
4;2;-2;0;0.04;0.10;-0.35;0.13;0.00;0.00
