Störungen der Venus durch;;;;;;;;;
Merkur; T; M2;1;5; M1;-2;-1;;
1;1;-1;0;0;0;0.06;-0.09;0.01;0
2;2;-1;0;0.25;-0.09;-0.09;-0.27;0;0
3;4;-2;0;-0.07;-0.08;-0.14;0.14;-0.01;-0.01
4;5;-2;0;-0.35;0.08;0.02;0.09;0;0
Erde; T; M2;1;8; M3;-8;0;;
6;1;0;0;2.37;2793.23;-4899.07;0.11;9995.27;7027.22
7;1;0;1;0.1;-19.65;34.4;0.22;64.95;-86.1
8;1;0;2;0.06;0.04;-0.07;0.11;-0.55;-0.07
9;2;0;0;-170.42;73.13;-16.59;0;67.71;47.56
10;2;0;1;0.93;2.91;0.23;0;-0.03;-0.92
11;3;0;0;-2.31;0.9;-0.08;0;0.04;2.09
12;1;-1;0;-2.38;-4.27;3.27;-1.82;0;0
13;1;-2;0;0.09;0;-0.08;0.05;-0.02;-0.25
14;2;-2;0;-9.57;-5.93;8.57;-13.83;-0.01;-0.01
15;2;-3;0;-2.47;-2.4;0.83;-0.95;0.16;0.24
16;3;-2;0;-0.09;-0.05;0.08;-0.13;-0.28;0.12
17;3;-3;0;7.12;0.32;-0.62;13.76;-0.07;0.01
18;3;-4;0;-0.65;-0.17;0.18;-0.73;0.1;0.05
19;3;-5;0;-1.08;-0.95;-0.17;0.22;-0.03;-0.03
20;4;-3;0;0.06;0;-0.01;0.08;0.14;-0.18
21;4;-4;0;0.93;-0.46;1.06;2.13;-0.01;0.01
22;4;-5;0;-1.53;0.38;-0.64;-2.54;0.27;0
23;4;-6;0;-0.17;-0.05;0.03;-0.11;0.02;0
24;5;-5;0;0.18;-0.28;0.71;0.47;-0.02;0.04
25;5;-6;0;0.15;-0.14;0.3;0.31;-0.04;0.03
26;5;-7;0;-0.08;0.02;-0.03;-0.11;0.01;0
27;5;-8;0;-0.23;0;0.01;-0.04;0;0
28;6;-6;0;0.01;-0.14;0.39;0.04;0;-0.01
29;6;-7;0;0.02;-0.05;0.12;0.04;-0.01;0.01
30;6;-8;0;0.1;-0.1;0.19;0.19;-0.02;0.02
31;7;-7;0;-0.03;-0.06;0.18;-0.08;0;0
32;8;-8;0;-0.03;-0.02;0.06;-0.08;0;0
Mars; T; M2;1;2; M4;-3;-2;;
34;1;-3;0;-0.65;1.02;-0.04;-0.02;-0.02;0
35;2;-2;0;-0.05;0.04;-0.09;-0.1;0;0
36;2;-3;0;-0.5;0.45;-0.79;-0.89;0.01;0.03
Jupiter; T; M2;0;3; M5;-3;-1;;
38;0;-1;0;-0.05;1.56;0.16;0.04;-0.08;-0.04
39;1;-1;0;-2.62;1.4;-2.35;-4.4;0.02;0.03
40;1;-2;0;-0.47;-0.08;0.12;-0.76;0.04;-0.18
41;2;-2;0;-0.73;-0.51;1.27;-1.82;-0.01;0.01
42;2;-3;0;-0.14;-0.1;0.25;-0.34;0;0
43;3;-3;0;-0.01;0.04;-0.11;-0.02;0;0
Saturn; T; M2;0;1; M6;-1;-1;;
45;0;-1;0;0;0.21;0;0;0;-0.01
46;1;-1;0;-0.11;-0.14;0.24;-0.2;0.01;0
